Name,Known_As,Discovery_Year,Discovered_By
Carettochelyidae,Pig-nosed turtle,1887,Boulenger.
Cheloniidae,Sea turtles,1811,Oppel.
Chelydridae,Snapping turtles,1831,Gray.
Dermatemydidae,Central American river turtle,1870,Gray.
Dermochelyidae,Leatherback sea turtle,1843,Fitzinger.
Emydidae,Pond or water turtles,1815,Rafinesque.
Geoemydidae,"Asian river, leaf, roofed or Asian box turtles",1868,Theobald.
Kinosternidae,Mud or musk turtles,1857,Agassiz.
Platysternidae,Big-headed turtle,1869,Gray.
Testudinidae,Tortoises,1788,Batsch.
Trionychidae,Softshell turtles,1826,Fitzinger.
Chelidae,Austro-American sideneck turtles,1831,Gray.
Pelomedusidae,Afro-American sideneck turtles,1868,Cope.
Podocnemididae,"Madagascar big-headed, Big-headed Amazon River turtle and South American sideneck river turtles",1869,Gray.
